iter	Passed	Remaining
0	165	165207
1	167	83400
2	168	56046
3	170	42420
4	172	34375
5	174	28920
6	175	24957
7	177	22007
8	178	19703
9	180	17860
10	181	16353
11	183	15094
12	184	14027
13	188	13247
14	189	12451
15	191	11752
16	192	11129
17	193	10571
18	195	10073
19	196	9624
20	197	9213
21	198	8834
22	200	8499
23	201	8191
24	202	7901
25	203	7634
26	205	7388
27	206	7158
28	207	6945
29	208	6746
30	209	6560
31	211	6384
32	212	6219
33	213	6074
34	215	5941
35	216	5803
36	218	5677
37	219	5556
38	220	5442
39	222	5332
40	223	5231
41	225	5135
42	226	5045
43	227	4952
44	229	4871
45	230	4787
46	232	4706
47	233	4629
48	234	4553
49	235	4478
50	236	4405
51	237	4334
52	238	4267
53	240	4210
54	241	4154
55	243	4097
56	244	4048
57	245	3993
58	247	3940
59	248	3889
60	249	3840
61	250	3793
62	251	3746
63	253	3701
64	254	3663
65	255	3621
66	257	3583
67	259	3553
68	260	3517
69	261	3480
70	263	3443
71	264	3407
72	265	3372
73	266	3338
74	268	3309
75	269	3279
76	270	3247
77	272	3215
78	273	3187
79	274	3159
80	275	3130
81	277	3101
82	277	3068
83	279	3042
84	280	3016
85	281	2991
86	283	2971
87	284	2948
88	285	2925
89	286	2900
90	288	2882
91	289	2859
92	290	2836
93	291	2813
94	292	2790
95	294	2768
96	295	2746
97	296	2727
98	297	2707
99	298	2688
100	299	2669
101	301	2650
102	302	2630
103	303	2614
104	304	2596
105	305	2578
106	306	2561
107	308	2544
108	309	2528
109	310	2513
110	311	2498
111	313	2482
112	314	2466
113	315	2451
114	316	2436
115	318	2426
116	319	2411
117	320	2398
118	321	2383
119	323	2369
120	324	2356
121	325	2341
122	326	2327
123	327	2314
124	328	2300
125	329	2287
126	330	2272
127	331	2259
128	333	2249
129	334	2237
130	335	2224
131	336	2213
132	337	2201
133	339	2193
134	340	2183
135	341	2171
136	342	2160
137	344	2149
138	345	2138
139	346	2127
140	347	2117
141	348	2104
142	349	2094
143	350	2083
144	351	2073
145	352	2063
146	353	2053
147	355	2043
148	356	2034
149	357	2024
150	358	2014
151	359	2004
152	360	1994
153	361	1985
154	362	1975
155	363	1967
156	364	1958
157	366	1950
158	367	1942
159	368	1934
160	369	1923
161	370	1915
162	371	1906
163	372	1897
164	373	1889
165	374	1881
166	375	1873
167	376	1865
168	377	1857
169	378	1849
170	380	1843
171	381	1836
172	382	1828
173	383	1820
174	384	1813
175	385	1805
176	386	1798
177	387	1790
178	388	1783
179	389	1775
180	390	1768
181	391	1761
182	393	1756
183	394	1749
184	395	1743
185	396	1735
186	397	1728
187	398	1722
188	399	1715
189	400	1708
190	401	1701
191	402	1695
192	403	1688
193	404	1682
194	405	1676
195	407	1670
196	408	1666
197	409	1660
198	410	1654
199	411	1647
200	413	1642
201	414	1636
202	415	1630
203	416	1624
204	417	1618
205	418	1612
206	419	1606
207	420	1600
208	421	1594
209	423	1592
210	424	1587
211	425	1581
212	426	1576
213	427	1570
214	428	1564
215	429	1559
216	430	1554
217	431	1548
218	432	1543
219	433	1537
220	434	1532
221	435	1527
222	437	1524
223	438	1519
224	439	1514
225	440	1509
226	441	1505
227	443	1500
228	444	1494
229	445	1490
230	446	1485
231	447	1480
232	448	1475
233	449	1470
234	450	1466
235	451	1462
236	453	1458
237	454	1454
238	455	1449
239	456	1444
240	457	1439
241	458	1435
242	459	1430
243	460	1426
244	461	1421
245	462	1417
246	463	1412
247	464	1409
248	465	1404
249	467	1401
250	468	1397
251	469	1393
252	470	1389
253	471	1385
254	472	1381
255	474	1377
256	475	1373
257	476	1369
258	477	1365
259	478	1361
260	480	1360
261	481	1356
262	483	1354
263	484	1350
264	485	1347
265	486	1343
266	488	1339
267	489	1336
268	490	1333
269	491	1329
270	493	1327
271	494	1324
272	495	1320
273	497	1318
274	499	1315
275	500	1312
276	501	1308
277	502	1305
278	503	1301
279	504	1297
280	505	1294
281	509	1297
282	510	1294
283	512	1292
284	515	1293
285	516	1290
286	518	1287
287	519	1283
288	520	1280
289	522	1278
290	523	1275
291	524	1272
292	525	1268
293	529	1271
294	530	1268
295	532	1265
296	533	1262
297	534	1258
298	535	1255
299	536	1252
300	537	1249
301	538	1245
302	539	1242
303	541	1238
304	543	1237
305	544	1235
306	545	1231
307	547	1229
308	548	1225
309	549	1222
310	550	1219
311	551	1216
312	552	1213
313	553	1210
314	554	1206
315	555	1203
316	557	1201
317	559	1199
318	560	1196
319	561	1193
320	562	1189
321	563	1186
322	564	1183
323	565	1180
324	567	1177
325	568	1174
326	569	1171
327	570	1168
328	571	1165
329	572	1163
330	574	1160
331	575	1157
332	576	1154
333	578	1153
334	579	1151
335	581	1148
336	582	1146
337	584	1144
338	586	1143
339	588	1143
340	591	1143
341	592	1140
342	594	1138
343	595	1136
344	597	1134
345	599	1132
346	601	1131
347	602	1129
348	604	1127
349	608	1129
350	610	1128
351	613	1129
352	616	1129
353	617	1127
354	619	1125
355	620	1123
356	622	1120
357	623	1118
358	625	1116
359	626	1113
360	627	1111
361	629	1109
362	632	1109
363	634	1108
364	636	1107
365	638	1105
366	639	1103
367	641	1101
368	642	1099
369	644	1097
370	646	1096
371	648	1095
372	650	1093
373	651	1091
374	653	1089
375	654	1086
376	656	1084
377	657	1082
378	663	1087
379	665	1085
380	666	1083
381	668	1081
382	670	1079
383	671	1077
384	672	1074
385	677	1077
386	679	1075
387	680	1072
388	681	1071
389	683	1068
390	684	1066
391	685	1063
392	687	1061
393	690	1062
394	693	1061
395	694	1058
396	695	1056
397	697	1054
398	698	1052
399	700	1050
400	701	1047
401	705	1050
402	707	1048
403	709	1046
404	711	1044
405	712	1043
406	714	1040
407	715	1038
408	718	1037
409	719	1035
410	722	1035
411	724	1034
412	726	1032
413	727	1030
414	729	1028
415	731	1026
416	733	1026
417	737	1026
418	739	1024
419	740	1022
420	742	1020
421	743	1018
422	745	1016
423	746	1014
424	748	1013
425	751	1013
426	753	1010
427	754	1008
428	756	1006
429	757	1004
430	759	1002
431	760	999
432	762	997
433	766	999
434	767	997
435	769	995
436	770	993
437	772	991
438	774	989
439	775	987
440	776	984
441	778	983
442	782	983
443	783	981
444	785	979
445	787	978
446	790	977
447	791	975
448	794	975
449	797	974
450	798	971
451	800	970
452	801	967
453	803	966
454	804	964
455	806	961
456	807	959
457	809	957
458	811	956
459	813	955
460	815	953
461	816	951
462	818	949
463	820	947
464	821	945
465	825	945
466	826	943
467	828	941
468	829	939
469	831	937
470	833	935
471	834	933
472	835	931
473	837	929
474	839	928
475	840	925
476	842	923
477	843	921
478	845	919
479	846	917
480	848	915
481	849	912
482	851	911
483	852	909
484	855	908
485	857	906
486	859	905
487	861	903
488	862	901
489	864	899
490	865	897
491	866	895
492	868	893
493	870	891
494	871	889
495	873	887
496	874	885
497	876	883
498	877	881
499	879	879
500	880	877
501	881	874
502	884	873
503	886	872
504	888	871
505	890	868
506	891	866
507	892	864
508	894	862
509	895	860
510	896	858
511	898	856
512	901	855
513	902	853
514	904	851
515	905	849
516	906	847
517	908	845
518	909	843
519	911	840
520	912	838
521	914	837
522	917	836
523	918	834
524	920	832
525	921	830
526	922	828
527	924	826
528	925	824
529	927	822
530	930	821
531	931	819
532	932	817
533	934	815
534	935	813
535	936	810
536	938	808
537	939	806
538	940	804
539	945	805
540	947	803
541	948	801
542	950	799
543	951	797
544	952	795
545	954	793
546	956	791
547	958	790
548	962	790
549	966	791
